stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\f0912\Workspace\SourceCode\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.25306] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25307] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25308] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25309] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25311] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25312] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25313] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25314] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25315] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25316] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25317] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25319] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25320] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25325] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25327] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25328] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25329] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25330] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25331] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25333] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25334] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25335] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25336] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25337] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25338] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25339] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25340] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25341] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25343] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25344] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25345] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25346] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25347] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25348] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25349] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25350] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25351] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25353] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25354] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25355] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25356] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25357] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25358] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25359] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25363] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25364] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25365] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25366] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25368] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25369] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25370] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25371] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25372] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25373] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25374] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25376] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25377] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25378] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25379] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25380] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25382] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25383] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25384] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25385] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25387] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25388] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25389] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25390] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25391] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25392] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25394] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25395] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25396] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25397] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25398] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25399] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25401] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25402] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25403] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25404] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25405] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25406] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25407] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.25408] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25410] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.25411] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25412] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.25413] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25414] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.25415] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25416] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.25418] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25419] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25420] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25421] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25422] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25423] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25424] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25427] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25428] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25429] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25430] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25431] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25432] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25433] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25435] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25436] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25438] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25439] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25440] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25441] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25442] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25443] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25445] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25446] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25447] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25448] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25449] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25450] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25451] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25452] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25453] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25454] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25455] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25457] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25458] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25459] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25461] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25462] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25463] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25464] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25465] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25466] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25467] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25468] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25469] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25470] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25472] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25473] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25475] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25476] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25477] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25478] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25479] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25480] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25481] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25482] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25483] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25484] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25486] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25487] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25488] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25489] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25490] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25491] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25492] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25493] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25495] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25496] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25497] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25498] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25499] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25500] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25501] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25502] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25503] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25504] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25507] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25508] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25510] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25511] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25512] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25513] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25514] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25515] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25516] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25517] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.25518] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25519] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25520] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25521] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25523] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25524] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25525] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25526] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.25527] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.25528] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25529] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25530] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25531] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25532] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25534] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.25535] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25536] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.25537] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25538] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.25539] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25540] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.25541] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25542] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25543] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25545] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25545] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25547] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.25548] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25549] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.25550] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25551] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.25552] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25553] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.25554] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25555] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25556] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25557] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25558] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25559] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.25560] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25562] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.25563] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25564] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.25565] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25566] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.25567] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25568] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25569] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.25570] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.25571] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25572] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.25573] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25575] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.25576] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25577] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.25578] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.25579] Score is : 587
